chinese_name,english_name
诺曼底国立高等建筑学院,ENSA Normandie: National School of Architecture of Normandy
诺曼底大学联盟,Normandy University
诺曼底经济管理学院,EM Normandie Business School
贝尔福－蒙贝利亚技术大学,University of Technology of Belfort-Montbéliard
贝桑松高等美术学院,Besançon Higher Institute of Fine Arts
贡比涅技术大学,University of Technology of Compiègne
达芬奇互联网与多媒体学院,IIM Digital School
达芬奇经济管理学院,EMLV Business School
里尔-杜埃高等矿业电信学院,IMT Lille Douai
里尔中央理工学院,Centrale Lille Institute
里尔国立高等化工学院,National Graduate School of Chemistry of Lille
里尔国立高等建筑与景观学院,Lille National School of Architecture and Landscape
里尔大学,University of Lille
里尔大学综合理工学院,"Polytech Lille, University of Lille"
里尔政治学院,Sciences Po Lille
里尔高等农业学院,ISA Lille
里尔高等商业学院,ESC Lille
里尔高等新闻学院,Lille Graduate School of Journalism
里尔高等电子与数字学院,ISEN Lille
里昂中央理工学院,Central School of Lyon
里昂商业管理学院,EM Lyon Business School
里昂国立应用科学学院,INSA Lyon
里昂国立高等建筑学院,Lyon National School of Architecture
里昂国立高等美术学院,Lyon National School of Fine Arts
里昂国立高等音乐与舞蹈学院,National Conservatory of Music and Dance of Lyon
里昂大学,University of Lyon
里昂大学里昂国立应用科学学院,INSA Lyon
里昂天主教工艺学院,ECAM Lyon
里昂政治学院,Sciences Po Lyon
里昂社会经济发展高级学院,ESDES Lyon Business School
里昂第一大学,Claude Bernard University Lyon 1
里昂第三大学,Jean Moulin University Lyon 3
里昂第二大学,Lumière University Lyon 2
里昂高等化学、物理及电子学院, CPE Lyon
里昂高等师范学院,École Normale Supérieure de Lyon
阿基坦大区波尔多高等音乐与舞蹈教育学院,Bordeaux-Aquitaine Higher Education Center for Music and Dance
阿尔图瓦大学,University of Artois
阿尔比-加莫国立高等矿业学院,IMT Mines Albi
阿维尼翁大学,Avignon University
阿维尼翁高等艺术学院,Avignon Higher Art School
阿莱斯国立高等矿业学院,IMT Mines Alès
雷恩-昂热农学院-国立高等农业、食品与环境学院,Institut Agro Rennes-Angers
雷恩国立应用科学学院,INSA Rennes
雷恩国立高等化工学院,National School of Chemistry of Rennes
雷恩大学,University of Rennes
雷恩政治学院,Sciences Po Rennes
雷恩第一大学国立高等技术与应用科学学院,University of Rennes 1 National Graduate School of Applied Sciences and Technology of Lannion
雷恩第二大学,University Rennes 2
雷恩高等商学院,Rennes School of Business
雷恩高等师范学院,ENS Rennes
雷昂那多达芬奇高等工程师学院,ESILV - Léonard de Vinci Engineering School
马兰戈尼时装设计学院,Istituto Marangoni Paris
马赛中央理工学院,Centrale Marseille
马赛国立高等建筑学院,ENSA Marseille
马赛美术学院 - 马赛-地中海国立高等艺术教育学院,INSEAMM - Marseille Fine Arts School
高布林图像学院,GOBELINS  School of Images
高等传播与营销学院,INSEEC U.Sup de Pub: Graduate Institute of Communication and Marketing
高等传播学院,ISCOM: Institute of Communication
高等信息传播学院,Supinfocom Rubika
高等先进工业技术学院,ESTIA: School of Advanced Industrial Technologies
高等农学、食品、园艺与景观学院,Agrocampus Ouest
高等商业学院,ISC Paris Business School
高等外贸学院,ESCE International Business School
高等工业学院,HEI - Graduate School of Engineering
高等工业研究中心,CESI: Graduate School of Industry
高等应用艺术学院,LISAA School of Art & Design
高等房地产职业学院,ESPI Group
高等数码艺术学院,ISART DIGITAL
高等新闻与视听传播学院,ISCPA: School of Communication and Media
高等现代艺术设计学院,ESAM Design
高等生物技术学院,Sup'Biotech
高等电子工程工程师学院,ESIGELEC
高等电影研究学院,ESEC: School of Cinema Studies
高等矿物与有机化学学院,ESCOM - School of Chemistry
高等研究实践学院,École Pratique des Hautes Études
高等科学技术与经济商业学院,ISTEC Paris
高等管理学院,ISG Business School
高等管理学院-工商管理学院,ESGCV-MBA ESG
高等经济与商业研究学院,INSEEC Business School
高等航空与空间学院,ISAE-SUPAERO
高等航空技术与汽车制造学院,ESTACA
高等艺术与技术学院,Hourdé-ESAT School
高等艺术研究学院,IESA International
高等计算机、电子及自动化学院,ESIEA
高等计算机工程学院,ESGI - School of Computer Science and Digital Innovation
鲁昂国立应用科学学院,INSA Rouen Normandie
鲁昂大学,University of Rouen
