chinese_name,english_name
达拉斯学院,Dallas College
东田纳西州立大学,East Tennessee State University
德克萨斯理工大学,Texas Tech University
东卡罗莱纳大学,East Carolina University
德克萨斯理工大学健康科学中心,Texas Tech University Health Sciences Center
德尤维尔大学,D'Youville University
东德克萨斯农工大学,East Texas A&M University
戴维斯和埃尔金斯学院,Davis and Elkins College
丹佛神学院,Denver Seminary
德萨尔斯大学,DeSales University
德克萨斯州立大学,Texas State University
德克萨斯农工国际大学,Texas A&M International University
多米尼肯大学,Dominican University
德克萨斯女子大学,Texas Woman's University
东南俄克拉荷马州立大学,Southeastern Oklahoma State University
德锐大学,DeVry University
东伊利诺伊大学,Eastern Illinois University
德克萨斯农工大学特克萨卡纳分校,Texas A&M University-Texarkana
迪亚波罗谷学院,Diablo Valley College
东洛杉矶学院,East Los Angeles College
东肯塔基大学,Eastern Kentucky University
杜鲁门州立大学,Truman State University
多恩大学,Doane University
达文波特大学,Davenport University
大河谷州立大学,Grand Valley State University
东南路易斯安那大学,Southeastern Louisiana University
达拉斯国际大学,Dallas International University
道尔顿州立大学,Dalton State College
德克萨斯大学奥斯汀分校,The University of Texas at Austin
蒂芬大学,Tiffin University
德安萨学院,De Anza College
德克萨斯大学里奥格兰德谷分校,The University of Texas Rio Grande Valley
东北州立大学,Northeastern State University
德克萨斯农工大学金斯维尔分校,Texas A&M University-Kingsville
俄亥俄大学,The Ohio University
俄亥俄州立大学,The Ohio State University
俄勒冈州立大学,Oregon State University
俄亥俄北方大学,Ohio Northern University
俄克拉荷马城市社区学院,Oklahoma City Community College
厄勒姆学院,Earlham College
俄克拉荷马大学,The University of Oklahoma
俄勒冈大学,University of Oregon
尔湾谷学院,Irvine Valley College
俄亥俄多米尼肯大学,Ohio Dominican University
俄克拉荷马州立大学,Oklahoma State University
俄亥俄卫斯理大学,Ohio Wesleyan University
恩波利亚州立大学,Emporia State University
俄克拉荷马城市大学,Oklahoma City University
俄克拉荷马基督教会大学,Oklahoma Christian University
俄勒冈健康与科学大学,Oregon Health and Science University
恩迪科特学院,Endicott College
俄克拉荷马狭地州立大学,Oklahoma Panhandle State University
俄克拉荷马浸会大学,Oklahoma Baptist University
俄克拉荷马州立大学技术学院,Oklahoma State University Institute of Technology
富特希尔学院,Foothill College
佛罗里达农工大学,Florida Agricultural and Mechanical University
弗吉尼亚大学,The University of Virginia
菲尔莱狄更斯大学,Fairleigh Dickinson University
富特海斯州立大学,Fort Hays State University
福特汉姆大学,Fordham University
弗吉尼亚理工大学,Virginia Polytechnic Institute and State University
佛罗里达大西洋大学,Florida Atlantic University
凤凰城大学,University of Phoenix
范德库克音乐学院,VanderCook College of Music
弗吉尼亚军事学院,Virginia Military Institute
丰博纳大学,Fontbonne University
芬德雷大学,The University of Findlay
弗雷明汉州立大学,Framingham State University
弗吉尼亚联合大学,Virginia Union University
范安德尔研究所研究生院,Van Andel Institute Graduate School
佛罗里达大学,The University of Florida
佛罗里达理工学院,Florida Institute of Technology
菲耶特维尔州立大学,Fayetteville State University
丰博纳学院,Fontbonne College
佛罗里达国际大学,Florida International University
弗雷斯诺城市学院,Fresno City College
富勒神学院,Fuller Theological Seminary
富勒顿学院,Fullerton College
佛罗里达州立大学,Florida State University
富尔顿蒙哥马利社区学院,Fulton-Montgomery Community College
佛罗里达南方学院,Florida Southern College
福尔曼大学,Furman University
费舍尔学院,Fisher College
费城社区学院,Community College of Philadelphia
弗吉尼亚卫斯理大学,Virginia Wesleyan University
丰田工业大学芝加哥分校,The Toyota Technological Institute at Chicago
佛蒙特大学,The University of Vermont
富兰克林和马歇尔学院,Franklin and Marshall College
费尔菲尔德大学,Fairfield University
服装设计营销学院,Fashion Institute of Design & Merchandising
富勒研究生院,Fuller Graduate Schools
佛罗里达塞米诺尔州立学院,Seminole State College of Florida
弗吉尼亚联邦大学,Virginia Commonwealth University
费利西安大学,Felician University
佛罗里达海湾海岸大学,Florida Gulf Coast University
福赛斯技术社区学院,Forsyth Technical Community College
富兰克林·欧林工程学院,Franklin W. Olin College of Engineering
费鲁姆学院,Ferrum College
佛州中医学院,Florida College of Integrative Medicine
费佛大学,Pfeiffer University
佛罗斯堡州立大学,Frostburg State University
弗朗西斯马里恩大学,Francis Marion University
富兰克林皮尔斯大学,Franklin Pierce University
福赛大学,Full Sail University
费里斯州立大学,Ferris State University
范德比尔特大学,Vanderbilt University
弗雷斯诺太平洋大学,Fresno Pacific University
弗拉格勒学院,Flagler College
费尔蒙特州立大学,Fairmont State University
富兰克林大学,Franklin University
弗吉尼亚州立大学,Virginia State University
哥伦布艺术与设计学院,Columbus College of Art and Design
格林斯博罗学院,Greensboro College
