chinese_name,english_name
全俄药用与芳香植物科研所,All-Russian Research Institute of Medicinal and Aromatic Plants
公共行政学院,Institute of Public Administration
军事大学,Military University
切列波韦茨国立大学,Cherepovets State University
列宁格勒普希金国立大学,Leningrad State University named after A.S. Pushkin
利佩茨克国立师范大学,Lipetsk State Pedagogical P. Semenov-Tyan-Shansky University
利佩茨克国立技术大学,Lipetsk State Technical University
别尔哥罗德合作、经济与法律大学,Belgorod University of Cooperation  Economics and Law
别尔哥罗德国立农业大学,Belgorod State Agricultural University
别尔哥罗德国立国家研究型大学,Belgorod State National Research University
别尔哥罗德国立工艺大学,Belgorod State Technological University named after V.G. Shukhov
别尔哥罗德国立文化艺术学院,Belgorod State Institute of Arts and Culture
加里宁格勒国立技术大学,Kaliningrad State Technical University
勘察加国立大学,Kamchatka State University named after Vitus Bering
勘察加国立技术大学,Kamchatka State Technical University
北奥赛梯国立大学,North Ossetian State University named after Kosta Levanovich Khetagurov
北方国立医科大学,Northern State Medical University
北方（北极）联邦大学,Northern (Arctic) Federal University
北高加索国立学院,North Caucasus State Academy
北高加索联邦大学,North Caucasus Federal University
南乌拉尔国立人文师范大学,South Ural State Humanitarian Pedagogical University
南乌拉尔国立医科大学,South Ural State Medical University
南乌拉尔国立大学（国家研究型大学）,South Ural State University
南乌拉尔柴可夫斯基国立艺术学院,South Ural State Institute of Arts named after P.I. Tchaikovsky
南俄罗斯人文学院,South-Russian Humanitarian Institute
南俄罗斯国立技术大学（新切尔卡斯克工学院）,Platov South-Russian State Polytechnic University
南联邦大学,Southern Federal University
卡卢加国立大学,Kaluga State University named after K.E. Tsiolkovsky
卡尔梅克国立大学,Kalmyk State University named after B.B. Gorodovikov
卡巴尔达-巴尔卡尔国立大学,Kabardino-Balkarian State University
卡拉恰伊-切尔克斯国立大学,Karachay-Cherkess State University
印古什国立大学,Ingush State University
叶列茨基国立大学,Yelets State University
后贝加尔国立大学,Transbaikal State University
哈卡斯国立大学,Khakas State University
哈巴罗夫斯克国立文化学院,Khabarovsk State Institute of Culture
商务职业学院,Institute of Business Career
喀山创新大学,Kazan Innovative University
喀山国家研究型工艺大学,Kazan National Research Technological University
喀山国立兽医学院,Kazan State Academy of Veterinary Medicine named after N.E. Bauman
喀山国立动力大学,Kazan State Power Engineering University
喀山国立医科大学,Kazan State Medical University
喀山国立建筑工程大学,Kazan State University of Architecture and Engineering
喀山国立文化学院,Kazan State Institute of Culture
