chinese_name,english_name
沈阳医学院,Shenyang Medical College
辽宁师范大学,Liaoning Normal University
沈阳师范大学,Shenyang Normal University
渤海大学,Bohai University
鞍山师范学院,
大连外国语大学,Dalian University of Foreign Languages
东北财经大学,Dongbei University of Finance and Economics
中国刑事警察学院,Criminal Investigation Police University of China
沈阳体育学院,Shenyang Sport University
沈阳音乐学院,Shenyang Conservatory of Music
鲁迅美术学院,Lu Xun Academy of Fine Arts
辽宁对外经贸学院,
沈阳大学,Shenyang University
大连大学,Dalian University
辽宁科技学院,Liaoning Institute of Science and Technology
辽宁警察学院,Liaoning Police College
沈阳工程学院,Shenyang Institute of Engineering
辽东学院,Eastern Liaoning University
大连民族大学,Dalian Minzu University
辽宁理工职业大学,
大连理工大学城市学院,
沈阳工业大学工程学院,
沈阳航空航天大学北方科技学院,
沈阳工学院,Shenyang Institute of Technology
大连工业大学艺术与信息工程学院,
大连科技学院,Dalian Institute of Science and Technology
沈阳城市建设学院,Shenyang Urban Construction University
大连医科大学中山学院,
锦州医科大学医疗学院,
辽宁师范大学海华学院,"Haihua College, Liaoning Normal University"
辽宁理工学院,
大连财经学院,
沈阳城市学院,
大连艺术学院,
辽宁中医药大学杏林学院,
辽宁何氏医学院,He University
沈阳科技学院,
大连东软信息学院,Dalian Neusoft University of Information
辽宁财贸学院,Liaoning Finance and Trade College
辽宁传媒学院,
营口理工学院,Yingkou Institute of Technology
朝阳师范学院,
抚顺师范高等专科学校,
锦州师范高等专科学校,
营口职业技术学院,
铁岭师范高等专科学校,
大连职业技术学院,
辽宁农业职业技术学院,
抚顺职业技术学院,
辽阳职业技术学院,
阜新高等专科学校,
辽宁省交通高等专科学校,
辽宁税务高等专科学校,
盘锦职业技术学院,
沈阳航空职业技术学院,
辽宁体育运动职业技术学院,
辽宁职业学院,
辽宁生态工程职业学院,
沈阳职业技术学院,
大连商务职业学院,
辽宁金融职业学院,
辽宁轨道交通职业学院,
辽宁广告职业学院,
辽宁机电职业技术学院,
辽宁经济职业技术学院,
辽宁石化职业技术学院,
渤海船舶职业学院,
大连软件职业学院,
大连翻译职业学院,
辽宁商贸职业学院,
大连枫叶职业技术学院,
辽宁装备制造职业技术学院,
辽河石油职业技术学院,
辽宁地质工程职业学院,
辽宁铁道职业技术学院,
辽宁建筑职业学院,
大连航运职业技术学院,
大连装备制造职业技术学院,
大连汽车职业技术学院,
辽宁现代服务职业技术学院,
辽宁冶金职业技术学院,
辽宁工程职业学院,
辽宁城市建设职业技术学院,
辽宁医药职业学院,
铁岭卫生职业学院,
沈阳北软信息职业技术学院,
辽宁政法职业学院,
辽宁民族师范高等专科学校,
辽宁轻工职业学院,
辽宁特殊教育师范高等专科学校,
辽宁师范高等专科学校,
鞍山职业技术学院,
吉林大学,Jilin University
延边大学,Yanbian University
长春理工大学,Changchun University of Science and Technology
东北电力大学,Northeast Electric Power University
长春工业大学,Changchun University of Technology
吉林建筑大学,Jilin Jianzhu University (JLJU)
吉林化工大学,
吉林农业大学,Jilin Agricultural University
长春中医药大学,Changchun University of Chinese Medicine
东北师范大学,Northeast Normal University
北华大学,Beihua University
通化师范学院,Tonghua Normal University
吉林师范大学,Jilin Normal University
吉林工程技术师范学院,
长春师范大学,Changchun Normal University
白城师范学院,Baicheng Normal University
吉林财经大学,
吉林体育学院,Jilin Sport University
吉林艺术学院,Jilin University of Arts
